Team,Name,Line,Season
Atlanta Hawks,Hawks,47.5,2022
Boston Celtics,Celtics,46.5,2022
Brooklyn Nets,Nets,55.5,2022
Charlotte Hornets,Hornets,38.5,2022
Chicago Bulls,Bulls,43.5,2022
Cleveland Cavaliers,Cavaliers,27.5,2022
Dallas Mavericks,Mavericks,48.5,2022
Denver Nuggets,Nuggets,47.5,2022
Detroit Pistons,Pistons,25.5,2022
Golden State Warriors,Warriors,47.5,2022
Houston Rockets,Rockets,25.5,2022
Indiana Pacers,Pacers,42.5,2022
Los Angeles Clippers,Clippers,45.5,2022
Los Angeles Lakers,Lakers,52.5,2022
Memphis Grizzlies,Grizzlies,41.5,2022
Miami Heat,Heat,48.5,2022
Milwaukee Bucks,Bucks,54.5,2022
Minnesota Timberwolves,Timberwolves,35.5,2022
New Orleans Pelicans,Pelicans,38.5,2022
New York Knicks,Knicks,41.5,2022
Oklahoma City Thunder,Thunder,22.5,2022
Orlando Magic,Magic,22.5,2022
Philadelphia 76ers,76ers,50.5,2022
Phoenix Suns,Suns,51.5,2022
Portland Trail Blazers,Trail Blazers,44.5,2022
Sacramento Kings,Kings,36.5,2022
San Antonio Spurs,Spurs,29.5,2022
Toronto Raptors,Raptors,36.5,2022
Utah Jazz,Jazz,53.5,2022
Washington Wizards,Wizards,34.5,2022
